#wvl              a              b              c           rmse
1190.00000000 0.002427521067 0.252052180466 0.000000000000 0.000000000000
1199.99988000 0.002412822752 0.249009136651 0.000000000000 0.000000000000
1210.00049000 0.002397217090 0.245798469228 0.000000000000 0.000000000000
1220.00049000 0.002380293313 0.242323484273 0.000000011436 0.000000009943
1229.99963000 0.002362128069 0.238640316639 0.000000010287 0.000000008958
1239.99963000 0.002342676044 0.234727409858 0.000000009162 0.000000007993
1250.00012000 0.002322330175 0.230669196127 0.000000008096 0.000000007075
1259.99963000 0.002299958730 0.226247684773 0.000000007041 0.000000006167
1269.99988000 0.002275283902 0.221420412764 0.000000006012 0.000000005278
1280.00012000 0.002249230526 0.216379801834 0.000000005062 0.000000004455
1289.99988000 0.002222530141 0.211274086475 0.000000004220 0.000000003722
